        Frequency / THz                Eps'/real
              0.82330328                       2.4532864
                 0.82514                       2.4535663
              0.82549548                       2.4536202
              0.82768768                       2.4539504
              0.82987988                       2.4542768
              0.83207208                       2.4545996
              0.83426428                       2.4549189
              0.83645648                       2.4552345
              0.83864868                       2.4555469
              0.84084082                       2.4558556
              0.84303302                       2.4561613
              0.84522521                       2.4564633
              0.84741741                       2.4567623
              0.84960961                       2.4570582
              0.85180181                       2.4573507
              0.85399401                       2.4576402
              0.85618621                       2.4579265
              0.85837835                         2.45821
              0.86057055                       2.4584904
              0.86276275                       2.4587679
              0.86495495                       2.4590423
              0.86714715                       2.4593141
              0.86933935                       2.4595828
              0.87134165                        2.459826
              0.87153155                       2.4598489
              0.87372375                       2.4601123
              0.87591594                       2.4603729
              0.87810808                       2.4606309
              0.88030028                       2.4608862
              0.88249248                        2.461139
              0.88468468                       2.4613891
              0.88687688                       2.4616368
              0.88906908                       2.4618819
              0.89126128                       2.4621246
              0.89345348                       2.4623647
              0.89564562                       2.4626026
              0.89783782                       2.4628382
              0.90003002                       2.4630713
              0.90222222                       2.4633021
              0.90441442                       2.4635308
              0.90660661                       2.4637573
              0.90879881                       2.4639814
              0.91099101                       2.4642034
              0.91318321                       2.4644232
              0.91537535                       2.4646411
              0.91756755                       2.4648566
              0.91975975                       2.4650702
              0.92013025                        2.465106
              0.92195195                       2.4652817
              0.92414415                       2.4654913
              0.92633635                        2.465699
              0.92852855                       2.4659045
              0.93072075                       2.4661081
              0.93291289                       2.4663098
              0.93510509                       2.4665096
              0.93729728                       2.4667077
              0.93948948                       2.4669039
              0.94168168                       2.4670982
              0.94387388                       2.4672906
              0.94606608                       2.4674816
              0.94825828                       2.4676704
              0.95045048                       2.4678578
              0.95264262                       2.4680436
              0.95483482                       2.4682274
              0.95702702                       2.4684095
              0.95921922                       2.4685903
              0.96141142                       2.4687693
              0.96360362                       2.4689467
              0.96579581                       2.4691224
              0.96798801                       2.4692967
              0.97018015                       2.4694695
              0.97165066                       2.4695845
              0.97237235                       2.4696407
              0.97456455                       2.4698102
              0.97675675                       2.4699786
              0.97894895                       2.4701452
              0.98114115                       2.4703104
              0.98333335                       2.4704742
              0.98552555                       2.4706368
              0.98771769                       2.4707978
              0.98990989                       2.4709573
              0.99210209                       2.4711156
              0.99429429                       2.4712725
              0.99648649                       2.4714282
              0.99867868                       2.4715824
               1.0008708                       2.4717352
               1.0030631                       2.4718869
               1.0052552                       2.4720373
               1.0074475                       2.4721863
               1.0096396                       2.4723344
               1.0118319                        2.472481
                1.014024                       2.4726264
               1.0162162                       2.4727705
               1.0184084                       2.4729135
               1.0206006                       2.4730554
               1.0227928                        2.473196
                1.024985                       2.4733357
               1.0260558                       2.4734035
               1.0271772                        2.473474
               1.0293694                       2.4736114
               1.0315616                       2.4737475
               1.0337538                       2.4738824
               1.0359459                       2.4740164
               1.0381382                       2.4741495
               1.0403303                       2.4742811
               1.0425225                        2.474412
               1.0447147                       2.4745417
               1.0469069                       2.4746704
               1.0490991                        2.474798
               1.0512913                       2.4749248
               1.0534835                       2.4750504
               1.0556756                       2.4751751
               1.0578679                       2.4752989
                 1.06006                       2.4754217
               1.0622523                       2.4755433
               1.0644444                       2.4756641
               1.0666367                       2.4757841
               1.0688288                        2.475903
               1.0710211                       2.4760213
               1.0732132                       2.4761384
               1.0754054                       2.4762547
               1.0775976                       2.4763701
               1.0797898                       2.4764845
                1.081982                       2.4765983
               1.0835073                       2.4766767
               1.0841742                        2.476711
               1.0863664                       2.4768229
               1.0885586                        2.476934
               1.0907507                       2.4770443
                1.092943                       2.4771538
               1.0951351                       2.4772625
               1.0973274                       2.4773703
               1.0995195                       2.4774773
               1.1017118                       2.4775834
               1.1039039                       2.4776888
               1.1060961                       2.4777937
               1.1082883                       2.4778974
               1.1104804                       2.4780006
               1.1126727                       2.4781029
               1.1148648                       2.4782047
               1.1170571                       2.4783056
               1.1192492                       2.4784057
               1.1214415                       2.4785051
               1.1236336                       2.4786041
               1.1258259                       2.4787021
                1.128018                       2.4787993
               1.1302102                       2.4788961
               1.1324024                        2.478992
               1.1345946                       2.4790874
               1.1367868                       2.4791818
                1.138979                       2.4792757
               1.1411712                       2.4793692
               1.1433634                       2.4794617
               1.1441755                       2.4794958
               1.1455555                       2.4795537
               1.1477478                        2.479645
               1.1499399                       2.4797356
               1.1521322                       2.4798257
               1.1543243                       2.4799151
               1.1565166                       2.4800041
               1.1587087                       2.4800923
                1.160901                       2.4801798
               1.1630931                       2.4802668
               1.1652852                       2.4803534
               1.1674775                       2.4804392
               1.1696696                       2.4805243
               1.1718619                       2.4806089
                1.174054                       2.4806931
               1.1762463                       2.4807765
               1.1784384                       2.4808595
               1.1806307                        2.480942
               1.1828228                       2.4810238
                1.185015                       2.4811051
               1.1872072                       2.4811859
               1.1893994                        2.481266
               1.1915916                       2.4813457
               1.1937838                       2.4814248
                1.195976                       2.4815035
               1.1981682                       2.4815817
               1.2003604                       2.4816592
               1.2025526                       2.4817364
               1.2047447                        2.481813
                1.206937                        2.481889
               1.2082407                       2.4819341
               1.2091291                       2.4819646
               1.2113214                       2.4820397
               1.2135135                       2.4821143
               1.2157058                       2.4821885
               1.2178979                       2.4822621
                 1.22009                       2.4823353
               1.2222823                        2.482408
               1.2244744                       2.4824803
               1.2266667                       2.4825521
               1.2288588                       2.4826233
               1.2310511                       2.4826944
               1.2332432                       2.4827647
               1.2354355                       2.4828348
               1.2376276                       2.4829042
               1.2398198                       2.4829733
                1.242012                        2.483042
               1.2442042                       2.4831104
               1.2463964                       2.4831781
               1.2485886                       2.4832456
               1.2507808                       2.4833126
                1.252973                       2.4833791
               1.2551652                       2.4834452
               1.2573574                        2.483511
               1.2595495                       2.4835763
               1.2617418                       2.4836411
               1.2639339                       2.4837058
               1.2661262                       2.4837699
               1.2683183                       2.4838338
               1.2705106                        2.483897
               1.2727027                       2.4839599
                1.274895                       2.4840226
               1.2758932                        2.484051
               1.2770871                       2.4840848
               1.2792792                       2.4841466
               1.2814715                       2.4842081
               1.2836636                       2.4842691
               1.2858559                       2.4843299
                1.288048                       2.4843903
               1.2902403                       2.4844503
               1.2924324                       2.4845099
               1.2946246                       2.4845693
               1.2968168                       2.4846282
                1.299009                       2.4846869
               1.3012012                        2.484745
               1.3033934                        2.484803
               1.3055856                       2.4848607
               1.3077778                       2.4849179
                 1.30997                       2.4849746
               1.3121622                       2.4850314
               1.3143543                       2.4850874
               1.3165466                       2.4851434
               1.3187387                        2.485199
                1.320931                       2.4852543
               1.3231231                       2.4853091
               1.3253154                       2.4853637
               1.3275075                       2.4854181
               1.3296998                       2.4854722
               1.3318919                       2.4855258
                1.334084                       2.4855793
               1.3362763                       2.4856322
               1.3384684                       2.4856851
               1.3406607                       2.4857376
               1.3428528                       2.4857898
               1.3450451                       2.4858415
               1.3472372                       2.4858932
               1.3473337                       2.4858954
               1.3494295                       2.4859445
               1.3516216                       2.4859955
               1.3538138                       2.4860463
                1.356006                       2.4860966
               1.3581982                       2.4861467
               1.3603904                       2.4861968
               1.3625826                       2.4862463
               1.3647748                       2.4862957
                1.366967                       2.4863446
               1.3691591                       2.4863935
               1.3713514                       2.4864419
               1.3735435                       2.4864902
               1.3757358                       2.4865382
               1.3779279                       2.4865859
               1.3801202                       2.4866333
               1.3823123                       2.4866805
               1.3845046                       2.4867275
               1.3866967                       2.4867742
               1.3888888                       2.4868207
               1.3910811                       2.4868667
               1.3932732                       2.4869127
               1.3954655                       2.4869585
               1.3976576                       2.4870038
               1.3998499                       2.4870491
                1.402042                       2.4870939
               1.4042343                       2.4871387
               1.4064264                       2.4871831
               1.4086186                       2.4872274
               1.4108108                       2.4872713
                1.413003                       2.4873152
               1.4151952                       2.4873586
               1.4173874                        2.487402
               1.4195796                       2.4874451
               1.4217718                       2.4874878
               1.4227743                       2.4875073
               1.4239639                       2.4875305
               1.4261562                       2.4875729
               1.4283483                       2.4876151
               1.4305406                       2.4876571
               1.4327327                       2.4876988
                1.434925                       2.4877403
               1.4371171                       2.4877815
               1.4393094                       2.4878225
               1.4415015                       2.4878635
               1.4436936                       2.4879041
               1.4458859                       2.4879446
                1.448078                       2.4879849
               1.4502703                        2.488025
               1.4524624                       2.4880648
               1.4546547                       2.4881043
               1.4568468                       2.4881437
               1.4590391                        2.488183
               1.4612312                       2.4882221
               1.4634234                       2.4882607
               1.4656156                       2.4882994
               1.4678078                        2.488338
                    1.47                       2.4883761
               1.4721922                       2.4884143
               1.4743844                        2.488452
               1.4765766                       2.4884896
               1.4787688                       2.4885271
                1.480961                       2.4885645
               1.4831531                       2.4886014
               1.4853454                       2.4886384
               1.4875375                       2.4886751
               1.4897298                       2.4887118
               1.4919219                       2.4887481
               1.4941142                       2.4887843
               1.4963063                       2.4888203
               1.4984984                       2.4888561
               1.5006907                       2.4888918
               1.5024389                         2.48892
               1.5028828                       2.4889271
               1.5050751                       2.4889624
               1.5072672                       2.4889977
               1.5094595                       2.4890325
               1.5116516                       2.4890673
               1.5138439                       2.4891021
                1.516036                       2.4891365
               1.5182282                       2.4891708
               1.5204204                       2.4892049
               1.5226126                       2.4892387
               1.5248048                       2.4892726
                1.526997                       2.4893062
               1.5291892                       2.4893396
               1.5313814                        2.489373
               1.5335736                       2.4894061
               1.5357658                        2.489439
               1.5379579                       2.4894719
               1.5401502                       2.4895046
               1.5423423                        2.489537
               1.5445346                       2.4895694
               1.5467267                       2.4896016
                1.548919                       2.4896338
               1.5511111                       2.4896655
               1.5533034                       2.4896972
               1.5554955                       2.4897289
               1.5576876                       2.4897604
               1.5598799                       2.4897916
                1.562072                       2.4898229
               1.5642643                       2.4898539
               1.5664564                       2.4898846
               1.5686487                       2.4899154
               1.5708408                       2.4899459
                1.573033                       2.4899764
               1.5752252                       2.4900067
               1.5774174                        2.490037
               1.5796096                       2.4900668
               1.5818018                       2.4900968
                1.583994                       2.4901264
               1.5861862                       2.4901562
               1.5865643                       2.4901612
               1.5883784                       2.4901855
               1.5905706                       2.4902148
               1.5927627                       2.4902442
                1.594955                        2.490273
               1.5971471                       2.4903021
               1.5993394                       2.4903307
               1.6015315                       2.4903595
               1.6037238                       2.4903879
               1.6059159                       2.4904163
               1.6081082                       2.4904447
               1.6103003                       2.4904728
               1.6124924                       2.4905009
               1.6146847                       2.4905288
               1.6168768                       2.4905565
               1.6190691                       2.4905841
               1.6212612                       2.4906116
               1.6234535                        2.490639
               1.6256456                       2.4906664
               1.6278379                       2.4906936
                 1.63003                       2.4907205
               1.6322222                       2.4907475
               1.6344144                       2.4907742
               1.6366066                       2.4908009
               1.6387988                       2.4908273
                1.640991                       2.4908538
               1.6431832                       2.4908803
               1.6453754                       2.4909065
               1.6475675                       2.4909325
               1.6497598                       2.4909585
               1.6519519                       2.4909842
               1.6541442                         2.49101
               1.6563363                       2.4910357
               1.6585286                       2.4910612
               1.6607207                       2.4910865
                1.662913                        2.491112
               1.6651051                        2.491137
               1.6672972                       2.4911621
               1.6694895                       2.4911871
               1.6716816                       2.4912119
               1.6738739                       2.4912367
                  1.6754                       2.4912539
                1.676066                       2.4912615
               1.6782583                       2.4912858
               1.6804504                       2.4913104
               1.6826427                       2.4913347
               1.6848348                        2.491359
                1.687027                       2.4913831
               1.6892192                       2.4914072
               1.6914114                        2.491431
               1.6936036                       2.4914548
               1.6957958                       2.4914784
                1.697988                        2.491502
               1.7001802                       2.4915257
               1.7023724                        2.491549
               1.7045646                       2.4915724
               1.7067567                       2.4915955
                1.708949                       2.4916186
               1.7111411                       2.4916418
               1.7133334                       2.4916646
               1.7155255                       2.4916875
               1.7177178                       2.4917102
               1.7199099                       2.4917328
                1.722102                       2.4917552
               1.7242943                       2.4917779
               1.7264864                       2.4918001
               1.7286787                       2.4918225
               1.7308708                       2.4918447
               1.7330631                       2.4918666
               1.7352552                       2.4918888
               1.7374475                       2.4919105
               1.7396396                       2.4919324
               1.7418318                       2.4919541
                1.744024                       2.4919758
               1.7462162                       2.4919972
               1.7484084                       2.4920187
               1.7506006                       2.4920402
               1.7527928                       2.4920614
                1.754985                       2.4920826
               1.7571772                       2.4921036
               1.7593694                       2.4921246
               1.7615615                       2.4921455
               1.7637538                       2.4921663
               1.7659459                       2.4921873
               1.7681382                       2.4922078
               1.7692099                        2.492218
               1.7703303                       2.4922285
               1.7725226                        2.492249
               1.7747147                       2.4922693
               1.7769068                       2.4922898
               1.7790991                         2.49231
               1.7812912                       2.4923301
               1.7834835                       2.4923503
               1.7856756                       2.4923704
               1.7878679                       2.4923902
                 1.79006                       2.4924099
               1.7922523                       2.4924297
               1.7944444                       2.4924495
               1.7966366                       2.4924691
               1.7988288                       2.4924886
                1.801021                       2.4925082
               1.8032132                       2.4925275
               1.8054054                       2.4925468
               1.8075976                       2.4925661
               1.8097898                       2.4925852
                1.811982                       2.4926043
               1.8141742                       2.4926233
               1.8163663                       2.4926424
               1.8185586                       2.4926612
               1.8207507                       2.4926801
                1.822943                       2.4926987
               1.8251351                       2.4927173
               1.8273274                       2.4927359
               1.8295195                       2.4927545
               1.8317118                       2.4927728
               1.8339039                       2.4927912
                1.836096                       2.4928095
               1.8382883                       2.4928277
               1.8404804                       2.4928458
               1.8426727                       2.4928639
               1.8448648                       2.4928818
               1.8470571                       2.4928999
               1.8492492                       2.4929178
               1.8514414                       2.4929354
               1.8536336                       2.4929533
               1.8558258                       2.4929709
                1.858018                       2.4929883
               1.8602102                        2.493006
               1.8624024                       2.4930234
               1.8645946                       2.4930408
               1.8667868                       2.4930582
               1.8682723                       2.4930699
                1.868979                       2.4930754
               1.8711711                       2.4930925
               1.8733634                       2.4931097
               1.8755555                       2.4931269
               1.8777478                       2.4931438
               1.8799399                       2.4931607
               1.8821322                       2.4931777
               1.8843243                       2.4931943
               1.8865166                        2.493211
               1.8887087                       2.4932277
               1.8909009                       2.4932444
               1.8930931                       2.4932611
               1.8952852                       2.4932775
               1.8974775                        2.493294
               1.8996696                       2.4933102
               1.9018619                       2.4933267
                1.904054                       2.4933429
               1.9062463                       2.4933591
               1.9084384                       2.4933751
               1.9106306                       2.4933913
               1.9128228                       2.4934072
                1.915015                       2.4934232
               1.9172072                       2.4934392
               1.9193994                       2.4934549
               1.9215916                       2.4934707
               1.9237838                       2.4934864
               1.9259759                       2.4935021
               1.9281682                       2.4935176
               1.9303603                       2.4935331
               1.9325526                       2.4935486
               1.9347447                       2.4935641
                1.936937                       2.4935796
               1.9391291                       2.4935949
               1.9413214                       2.4936101
               1.9435135                       2.4936254
               1.9457057                       2.4936404
               1.9478979                       2.4936557
               1.9500901                       2.4936707
               1.9522823                       2.4936857
               1.9544744                       2.4937005
               1.9566667                       2.4937155
               1.9588588                       2.4937303
               1.9610511                       2.4937451
               1.9632432                       2.4937599
               1.9654354                       2.4937744
               1.9676276                        2.493789
               1.9698198                       2.4938037
                1.972012                        2.493818
               1.9728816                       2.4938238
               1.9742042                       2.4938326
               1.9763964                       2.4938469
               1.9785886                       2.4938614
               1.9807808                       2.4938757
                1.982973                         2.49389
               1.9851651                       2.4939041
               1.9873574                       2.4939182
               1.9895495                       2.4939325
               1.9917418                       2.4939466
               1.9939339                       2.4939604
               1.9961262                       2.4939744
               1.9983183                       2.4939883
