        Frequency / THz                Eps' (Fit)/real
              0.94825828                       4.6530328
              0.95045048                       4.6512971
              0.95264262                       4.6495609
              0.95483482                       4.6478248
              0.95702702                       4.6460881
              0.95921922                       4.6443515
              0.96141142                       4.6426148
              0.96360362                       4.6408782
              0.96579581                       4.6391411
              0.96798801                        4.637404
              0.97018015                       4.6356668
              0.97165066                       4.6345015
              0.97237235                       4.6339297
              0.97456455                       4.6321926
              0.97675675                        4.630455
              0.97894895                       4.6287179
              0.98114115                       4.6269803
              0.98333335                       4.6252432
              0.98552555                       4.6235056
              0.98771769                       4.6217685
              0.98990989                       4.6200309
              0.99210209                       4.6182938
              0.99429429                       4.6165566
              0.99648649                       4.6148195
              0.99867868                       4.6130824
               1.0008708                       4.6113458
               1.0030631                       4.6096091
               1.0052552                        4.607872
               1.0074475                       4.6061358
               1.0096396                       4.6043992
               1.0118319                        4.602663
                1.014024                       4.6009269
               1.0162162                       4.5991912
               1.0184084                       4.5974555
               1.0206006                       4.5957198
               1.0227928                       4.5939846
                1.024985                       4.5922499
               1.0260558                       4.5914025
               1.0271772                       4.5905151
               1.0293694                       4.5887804
               1.0315616                       4.5870461
               1.0337538                       4.5853124
               1.0359459                       4.5835786
               1.0381382                       4.5818453
               1.0403303                       4.5801125
               1.0425225                       4.5783796
               1.0447147                       4.5766473
               1.0469069                       4.5749154
               1.0490991                       4.5731835
               1.0512913                       4.5714521
               1.0534835                       4.5697212
               1.0556756                       4.5679908
               1.0578679                       4.5662608
                 1.06006                       4.5645313
               1.0622523                       4.5628018
               1.0644444                       4.5610728
               1.0666367                       4.5593448
               1.0688288                       4.5576167
               1.0710211                       4.5558891
               1.0732132                       4.5541625
               1.0754054                       4.5524359
               1.0775976                       4.5507102
               1.0797898                       4.5489845
                1.081982                       4.5472598
               1.0835073                       4.5460596
               1.0841742                       4.5455351
               1.0863664                       4.5438113
               1.0885586                        4.542088
               1.0907507                       4.5403652
                1.092943                       4.5386434
               1.0951351                       4.5369215
               1.0973274                       4.5352006
               1.0995195                       4.5334802
               1.1017118                       4.5317607
               1.1039039                       4.5300417
               1.1060961                       4.5283232
               1.1082883                       4.5266051
               1.1104804                        4.524888
               1.1126727                       4.5231714
               1.1148648                       4.5214558
               1.1170571                       4.5197406
               1.1192492                       4.5180259
               1.1214415                       4.5163121
               1.1236336                       4.5145993
               1.1258259                        4.512887
                1.128018                       4.5111752
               1.1302102                       4.5094643
               1.1324024                       4.5077543
               1.1345946                       4.5060449
               1.1367868                       4.5043364
                1.138979                       4.5026288
               1.1411712                       4.5009217
               1.1433634                       4.4992151
               1.1441755                       4.4985833
               1.1455555                         4.49751
               1.1477478                       4.4958053
               1.1499399                       4.4941015
               1.1521322                       4.4923987
               1.1543243                       4.4906964
               1.1565166                       4.4889951
               1.1587087                       4.4872947
                1.160901                       4.4855952
               1.1630931                       4.4838967
               1.1652852                       4.4821987
               1.1674775                       4.4805017
               1.1696696                       4.4788055
               1.1718619                       4.4771109
                1.174054                       4.4754167
               1.1762463                       4.4737229
               1.1784384                       4.4720306
               1.1806307                       4.4703393
               1.1828228                       4.4686489
                1.185015                       4.4669595
               1.1872072                        4.465271
               1.1893994                       4.4635835
               1.1915916                       4.4618969
               1.1937838                       4.4602113
                1.195976                       4.4585266
               1.1981682                       4.4568429
               1.2003604                       4.4551601
               1.2025526                       4.4534788
               1.2047447                        4.451798
                1.206937                       4.4501185
               1.2082407                         4.44912
               1.2091291                       4.4484401
               1.2113214                       4.4467626
               1.2135135                        4.445086
               1.2157058                       4.4434109
               1.2178979                       4.4417362
                 1.22009                        4.440063
               1.2222823                       4.4383912
               1.2244744                       4.4367199
               1.2266667                         4.43505
               1.2288588                       4.4333811
               1.2310511                       4.4317136
               1.2332432                        4.430047
               1.2354355                       4.4283814
               1.2376276                       4.4267168
               1.2398198                       4.4250536
                1.242012                       4.4233918
               1.2442042                       4.4217305
               1.2463964                       4.4200711
               1.2485886                       4.4184122
               1.2507808                       4.4167547
                1.252973                       4.4150987
               1.2551652                       4.4134436
               1.2573574                       4.4117894
               1.2595495                       4.4101367
               1.2617418                       4.4084854
               1.2639339                       4.4068351
               1.2661262                       4.4051857
               1.2683183                       4.4035378
               1.2705106                       4.4018912
               1.2727027                       4.4002457
                1.274895                       4.3986015
               1.2758932                       4.3978534
               1.2770871                       4.3969588
               1.2792792                       4.3953171
               1.2814715                       4.3936763
               1.2836636                       4.3920374
               1.2858559                       4.3903995
                1.288048                        4.388763
               1.2902403                       4.3871274
               1.2924324                       4.3854933
               1.2946246                       4.3838606
               1.2968168                       4.3822289
                1.299009                       4.3805985
               1.3012012                       4.3789697
               1.3033934                       4.3773422
               1.3055856                       4.3757157
               1.3077778                       4.3740907
                 1.30997                        4.372467
               1.3121622                       4.3708448
               1.3143543                       4.3692241
               1.3165466                       4.3676043
               1.3187387                       4.3659859
                1.320931                       4.3643689
               1.3231231                       4.3627534
               1.3253154                       4.3611393
