        Frequency / THz                Eps'' (Fit)/real
               1.0293694                       2.6509769
               1.0315616                       2.6482017
               1.0337538                       2.6454377
               1.0359459                       2.6426852
               1.0381382                       2.6399436
               1.0403303                       2.6372132
               1.0425225                       2.6344936
               1.0447147                       2.6317849
               1.0469069                        2.629087
               1.0490991                       2.6263998
               1.0512913                       2.6237233
               1.0534835                        2.621057
               1.0556756                       2.6184015
               1.0578679                       2.6157563
                 1.06006                       2.6131213
               1.0622523                       2.6104963
               1.0644444                       2.6078815
               1.0666367                       2.6052768
               1.0688288                       2.6026821
               1.0710211                       2.6000974
               1.0732132                       2.5975223
               1.0754054                       2.5949569
               1.0775976                       2.5924013
               1.0797898                       2.5898552
                1.081982                       2.5873184
               1.0835073                       2.5855591
               1.0841742                       2.5847912
               1.0863664                       2.5822735
               1.0885586                       2.5797648
               1.0907507                       2.5772655
                1.092943                       2.5747752
               1.0951351                        2.572294
               1.0973274                       2.5698218
               1.0995195                       2.5673585
               1.1017118                        2.564904
               1.1039039                       2.5624585
               1.1060961                       2.5600216
               1.1082883                       2.5575933
               1.1104804                       2.5551736
               1.1126727                       2.5527625
               1.1148648                       2.5503597
               1.1170571                       2.5479653
               1.1192492                       2.5455794
               1.1214415                       2.5432017
               1.1236336                        2.540832
               1.1258259                       2.5384707
                1.128018                       2.5361173
               1.1302102                        2.533772
               1.1324024                       2.5314348
               1.1345946                       2.5291054
               1.1367868                       2.5267837
                1.138979                       2.5244699
               1.1411712                       2.5221639
               1.1433634                       2.5198653
               1.1441755                       2.5190158
               1.1455555                       2.5175745
               1.1477478                       2.5152912
               1.1499399                       2.5130153
               1.1521322                        2.510747
               1.1543243                        2.508486
               1.1565166                       2.5062323
               1.1587087                       2.5039859
                1.160901                       2.5017469
               1.1630931                       2.4995148
               1.1652852                       2.4972899
               1.1674775                       2.4950721
               1.1696696                       2.4928613
               1.1718619                       2.4906576
                1.174054                       2.4884605
               1.1762463                       2.4862704
               1.1784384                       2.4840872
               1.1806307                       2.4819107
               1.1828228                       2.4797409
                1.185015                       2.4775777
               1.1872072                       2.4754212
               1.1893994                       2.4732711
               1.1915916                       2.4711277
               1.1937838                       2.4689906
                1.195976                       2.4668601
               1.1981682                        2.464736
               1.2003604                       2.4626181
               1.2025526                       2.4605064
               1.2047447                       2.4584012
                1.206937                       2.4563019
               1.2082407                       2.4550564
               1.2091291                       2.4542091
               1.2113214                       2.4521222
               1.2135135                       2.4500413
               1.2157058                       2.4479666
               1.2178979                       2.4458978
                 1.22009                       2.4438348
               1.2222823                       2.4417779
               1.2244744                       2.4397268
               1.2266667                       2.4376814
               1.2288588                        2.435642
               1.2310511                       2.4336081
               1.2332432                       2.4315801
               1.2354355                       2.4295576
               1.2376276                       2.4275408
               1.2398198                       2.4255295
                1.242012                       2.4235239
               1.2442042                       2.4215236
               1.2463964                       2.4195287
               1.2485886                       2.4175394
               1.2507808                       2.4155555
                1.252973                       2.4135768
               1.2551652                       2.4116037
               1.2573574                       2.4096355
               1.2595495                       2.4076729
               1.2617418                       2.4057152
               1.2639339                       2.4037628
               1.2661262                       2.4018157
               1.2683183                       2.3998733
               1.2705106                       2.3979363
               1.2727027                       2.3960042
                1.274895                       2.3940771
               1.2758932                       2.3932011
               1.2770871                       2.3921549
               1.2792792                       2.3902378
               1.2814715                       2.3883255
               1.2836636                       2.3864181
               1.2858559                       2.3845155
                1.288048                       2.3826177
               1.2902403                       2.3807247
               1.2924324                       2.3788364
               1.2946246                       2.3769526
               1.2968168                       2.3750737
                1.299009                       2.3731995
               1.3012012                       2.3713298
               1.3033934                       2.3694646
               1.3055856                       2.3676043
               1.3077778                       2.3657482
                 1.30997                       2.3638966
               1.3121622                       2.3620496
               1.3143543                       2.3602068
               1.3165466                       2.3583686
               1.3187387                        2.356535
                1.320931                       2.3547053
               1.3231231                       2.3528802
               1.3253154                       2.3510592
               1.3275075                       2.3492427
               1.3296998                       2.3474302
               1.3318919                       2.3456221
                1.334084                       2.3438182
               1.3362763                       2.3420184
               1.3384684                       2.3402226
               1.3406607                       2.3384309
               1.3428528                       2.3366435
               1.3450451                       2.3348598
               1.3472372                       2.3330805
               1.3473337                       2.3330023
               1.3494295                        2.331305
               1.3516216                       2.3295336
